,Aircraft Model,Empty Weight (kg),Maximum Takeoff Weight (kg),Maximum Landing Weight (kg),Center of Gravity Limits,Wing Loading (kg/m²),Tail Loading (kg/m²),Fuel Capacity (liters),Number of Passengers,Cargo Capacity (kg),Maximum Altitude (ft),Maximum Speed (knots),Engine Type,Fuselage Length (m)
5277,Cessna 172,196381.6497,908925.6761,543475.018,25%-35% of MAC,797.0208382,74.39778802,231675.8792,410,14508.42579,32592,539,Turbofan,12.46485731
5278,Cessna 172,28362.02805,109176.4877,107142.2692,15%-30% of MAC,225.6098568,183.0950703,236605.0508,476,68588.27756,57898,547,Turboprop,40.24594115
5279,Boeing 747-8,103677.7449,421574.2072,234417.1459,15%-30% of MAC,579.410122,181.176588,496471.3766,128,91590.46761,48683,636,Turboprop,80.72139519
5280,Cessna 172,219822.1478,821398.0155,669631.4922,20%-35% of MAC,490.9237749,139.6301873,323473.2144,432,38950.0956,48144,686,Turboprop,69.59032916
5281,Boeing 747-8,5166.413922,17198.83248,5618.10587,20%-40% of MAC,846.7277326,35.58668985,244541.3757,332,20581.37348,49890,428,Turboprop,25.60939672
5282,Cessna 172,287998.6556,671813.9126,317406.4039,20%-35% of MAC,916.2400786,108.094526,356512.6361,275,5059.094325,34241,695,Turboprop,15.21896611
5283,Cessna 172,249620.4598,614164.9006,454701.6723,20%-35% of MAC,530.4451934,150.8635182,41325.81669,111,44327.47737,30030,584,Piston,20.80306767
5284,Airbus A320,148297.2552,547232.5154,150907.3454,20%-40% of MAC,640.812096,142.9131623,381034.0628,247,88269.08967,57599,690,Turboprop,47.36022103
5285,Airbus A380,247420.7189,613086.5855,393576.9486,15%-30% of MAC,910.401037,41.90483715,149543.7517,499,92314.40704,51640,508,Turbofan,85.54450758
5286,Boeing 737-800,238588.1561,281720.033,270365.42,35%-45% of MAC,627.8869793,35.04279462,35077.19475,290,98147.87586,25140,433,Turbofan,64.98953937
5287,Airbus A320,299442.8994,320732.388,312547.7158,20%-40% of MAC,213.1266084,89.13877753,474121.1282,205,98225.99249,34502,625,Turbofan,94.28189895
5288,Boeing 777,88965.77445,333354.012,281745.3062,35%-45% of MAC,787.234301,103.7572264,424876.5176,63,26143.49125,20231,696,Turboprop,87.6612792
5289,Gulfstream G650,260332.2412,658688.9746,390339.9056,20%-40% of MAC,856.8940538,137.253455,196304.9123,393,44767.27311,24938,681,Turbofan,77.56103711
5290,Boeing 777,249926.4147,392191.1847,383772.4889,20%-40% of MAC,302.5709429,58.8304783,241369.6499,76,19628.32156,30853,656,Piston,91.93595325
5291,Boeing 747-8,32597.07538,112309.0099,60902.06197,15%-30% of MAC,709.913229,59.87842184,412129.3505,196,10352.2755,42762,526,Piston,81.87364335
5292,Boeing 747-8,194195.4047,511811.3361,199383.3139,35%-45% of MAC,662.013269,159.6052361,300177.5443,435,27588.27248,58503,621,Turboprop,64.42904854
5293,Beechcraft King Air 350,186094.4319,434036.7329,246976.0731,15%-30% of MAC,706.3658234,165.7314635,497046.4098,147,46870.40989,36243,527,Turboprop,42.59139465
5294,Beechcraft King Air 350,273392.665,559995.4693,446419.891,20%-40% of MAC,286.47254,39.7660661,237050.8241,284,18931.42688,37379,474,Piston,62.11314159
5295,Airbus A380,172190.3841,351153.2444,252645.276,20%-40% of MAC,748.9114236,152.6517757,407290.9273,433,28650.22808,36589,432,Turbofan,98.25894688
5296,Boeing 737-800,178375.7214,652896.7318,506413.7625,15%-30% of MAC,966.7602634,82.79493653,438073.5091,277,36507.97082,25974,443,Turbofan,38.65890008
5297,Beechcraft King Air 350,246086.9598,409032.2019,303122.572,35%-45% of MAC,420.2457884,41.53146909,316766.8928,311,92662.65429,31618,480,Piston,29.72433477
5298,Cessna 172,202112.0824,452380.807,353581.0966,20%-40% of MAC,691.0079968,47.15123865,118628.3063,297,33815.54345,24010,649,Turbofan,37.71618736
5299,Boeing 747-8,20879.56876,91037.25113,85066.09071,15%-30% of MAC,630.154345,145.5432279,204288.2649,275,57714.23598,26070,559,Turboprop,85.34894651
5300,Boeing 777,100665.2768,293239.3646,222658.0982,35%-45% of MAC,507.295447,169.0797308,488436.8879,385,79364.58637,27332,594,Turbofan,26.19666093
5301,Boeing 777,48057.04381,88710.00471,80635.15194,25%-35% of MAC,486.9768334,119.8333848,256430.8516,321,41049.11809,27905,487,Piston,12.83223826
5302,Boeing 777,82805.42702,177281.5995,157543.9783,20%-40% of MAC,713.1458555,54.82287725,53619.19128,342,36596.35132,39395,477,Turbofan,75.26231691
5303,Bombardier Global 6000,108573.1773,536460.9574,446887.4731,20%-40% of MAC,614.1793265,198.940485,252154.5573,343,81198.21317,20492,456,Piston,40.07840789
5304,Beechcraft King Air 350,72373.55206,115113.9992,73801.4337,35%-45% of MAC,617.2448855,180.4044709,74256.9872,334,56353.12029,45062,623,Turbofan,11.34783725
5305,Gulfstream G650,237474.5082,365506.7352,298113.6918,20%-35% of MAC,664.1525027,26.12142449,406707.3365,363,73313.31607,48123,480,Piston,86.67933881
5306,Beechcraft King Air 350,203313.4349,858778.9503,489680.4803,20%-40% of MAC,872.1517916,144.885856,439619.4649,120,5011.840912,34369,577,Piston,95.07054107
5307,Beechcraft King Air 350,251452.5242,343588.8143,298545.6145,20%-40% of MAC,493.9001004,122.6301333,283691.6231,317,47124.10352,41379,441,Turboprop,60.50701639
5308,Boeing 747-8,114155.5793,422466.2953,128178.0855,20%-40% of MAC,851.6792444,24.94488834,447272.5173,192,69173.58373,46022,480,Piston,12.03302536
5309,Gulfstream G650,170704.5492,462007.5373,362566.3242,20%-40% of MAC,530.0566989,95.66701672,451316.3756,373,54139.68596,56800,564,Turbofan,35.35882965
5310,Embraer E190,264255.6164,561838.4345,449805.7774,20%-40% of MAC,631.0911372,97.32195997,284605.3488,444,4707.365245,52931,470,Turboprop,52.20208417
5311,Boeing 777,249132.7163,784294.9492,471084.2467,25%-35% of MAC,529.3997616,69.46133492,294659.2351,303,65391.26039,31846,528,Turboprop,39.01861567
5312,Cessna 172,64688.31524,238566.1108,207325.7669,15%-30% of MAC,520.7234587,105.9192578,244350.3205,253,34438.44261,42070,695,Turbofan,38.75016667
5313,Beechcraft King Air 350,128950.249,383232,211208.9413,20%-35% of MAC,266.809455,178.5494496,496651.3723,63,92587.4664,35144,613,Turboprop,48.80518621
5314,Gulfstream G650,192199.8397,545737.122,256218.139,20%-40% of MAC,564.2480441,146.7417788,464762.8746,455,46700.50971,42881,439,Turboprop,72.85452248
5315,Airbus A320,231382.7734,484726.4562,426630.7636,20%-40% of MAC,954.8131869,47.51903693,403872.6083,265,32164.88122,33280,430,Turboprop,99.36267121
5316,Embraer E190,299940.1178,431617.2261,318618.4877,35%-45% of MAC,881.0423601,58.05893082,300051.4286,462,93034.1964,36619,534,Turboprop,68.01394031
5317,Boeing 747-8,59542.10311,278356.3728,263786.5801,35%-45% of MAC,892.1271672,176.9667216,295424.5625,267,99691.4676,36755,674,Turboprop,63.88272223
5318,Gulfstream G650,147411.0844,715109.4393,343239.8305,20%-40% of MAC,957.3969054,159.3118601,424195.7989,98,81100.46916,57229,548,Turbofan,72.01812106
5319,Airbus A320,128988.8263,517191.8222,386560.0761,20%-35% of MAC,954.9700203,85.70626663,442607.0773,413,39508.11164,21111,468,Turbofan,17.14346224
5320,Bombardier Global 6000,242117.618,857730.4191,341984.2042,15%-30% of MAC,797.828762,63.605028,414913.4858,242,6988.376983,24721,667,Turbofan,14.57383553
5321,Boeing 777,211031.2253,271449.0746,245093.1352,25%-35% of MAC,729.0814493,181.4273514,158235.1151,281,46159.73154,31357,554,Piston,34.34833522
5322,Beechcraft King Air 350,29797.9734,145505.6284,37902.55016,25%-35% of MAC,328.4276633,126.4097121,245691.9781,409,2093.253797,54372,580,Turbofan,99.2104769
5323,Bombardier Global 6000,40767.30269,79259.48612,46750.3487,15%-30% of MAC,266.5347633,128.2910523,467272.909,174,10355.67487,44308,683,Piston,92.34455869
5324,Embraer E190,190983.999,928941.0893,798648.6753,15%-30% of MAC,212.3960515,187.2637133,369838.9687,398,46023.98351,33163,700,Turbofan,88.6350383
5325,Airbus A320,122419.1789,563023.0632,230443.5109,20%-40% of MAC,400.7479954,140.8456399,264665.086,167,56422.08229,46988,483,Turbofan,34.76627686
5326,Airbus A320,5741.866689,21070.88844,5838.747664,15%-30% of MAC,380.009763,140.2156459,126120.1142,423,61597.60707,21643,465,Turboprop,72.44469376
5327,Boeing 737-800,71880.23229,270274.727,160643.559,25%-35% of MAC,258.3386487,156.9912649,154450.4243,196,99519.45863,35216,464,Turboprop,92.7683245
5328,Airbus A320,273717.2342,857234.434,319340.6395,15%-30% of MAC,822.6667572,72.51889706,249334.8388,371,70388.51729,53761,488,Turbofan,36.4739174
5329,Airbus A380,255050.8163,658101.5043,327895.2464,20%-40% of MAC,611.5484197,168.6724032,320720.2709,133,40439.60342,25886,641,Piston,29.02791105
5330,Airbus A380,90169.44917,193508.4779,136093.0674,35%-45% of MAC,539.5518401,181.1457082,355048.4981,78,31359.65211,26430,629,Piston,80.39731738
5331,Airbus A320,295100.4218,897713.0865,468131.0696,20%-40% of MAC,583.5825187,30.54655175,69114.86515,217,79949.95995,51992,629,Piston,54.51816733
5332,Gulfstream G650,293750.1842,1205404.206,757916.805,20%-40% of MAC,737.5586959,99.42565868,457542.4156,233,51070.01562,53951,454,Piston,80.99601327
5333,Boeing 777,292157.2017,934351.6768,777106.9171,20%-40% of MAC,823.5514458,99.70306863,461972.3752,436,27538.28965,41323,624,Turboprop,38.20237926
5334,Airbus A320,41037.67531,105522.8076,77754.47339,20%-40% of MAC,553.8917168,163.7625154,309874.6932,435,39108.4216,25381,588,Piston,18.39630703
5335,Airbus A380,187845.2287,330278.7823,189842.3346,20%-40% of MAC,549.7533302,160.960868,429645.8491,197,80229.07112,41663,657,Turbofan,52.58325205
5336,Airbus A320,113508.1317,484172.7881,436761.492,25%-35% of MAC,523.0014695,20.52097431,324551.7119,216,69531.61902,21095,588,Turboprop,47.2778187
5337,Airbus A320,5806.463882,27969.98912,12849.13675,35%-45% of MAC,688.4573845,151.9610116,388587.5551,236,8253.044765,48160,606,Turboprop,38.42449012
5338,Boeing 737-800,43613.99144,56842.92953,49432.56901,20%-35% of MAC,763.412822,96.47155827,465623.4953,402,65056.93185,45304,546,Piston,69.80327913
5339,Embraer E190,202566.0069,376160.8184,234562.3626,20%-40% of MAC,407.9241009,83.59079225,151669.7729,416,95354.91024,37220,503,Turbofan,20.0494955
5340,Cessna 172,165387.8101,560325.4725,305178.5501,20%-40% of MAC,237.0314958,52.19016898,498614.4874,305,40077.06589,43772,435,Turboprop,51.62339733
5341,Boeing 777,134347.8924,620552.574,321764.3188,20%-40% of MAC,793.8425766,151.088882,203446.2269,96,38423.75812,52780,682,Turbofan,92.21439862
5342,Beechcraft King Air 350,20136.97128,20877.3106,20452.71179,20%-40% of MAC,692.3229956,82.22312037,173149.9965,137,20683.51961,48176,460,Turboprop,85.74554937
5343,Boeing 737-800,135160.8479,523319.758,202998.652,20%-35% of MAC,988.5888235,187.9087427,493425.933,342,78903.55087,42957,679,Piston,75.77471067
5344,Cessna 172,73195.22329,152078.4174,82600.83869,15%-30% of MAC,894.9875261,146.7136533,303003.7925,409,57933.73447,46598,641,Piston,23.66335611
5345,Bombardier Global 6000,173362.7884,608042.2892,405022.838,25%-35% of MAC,478.3261151,72.741931,90951.22943,161,54362.47522,36426,488,Turboprop,58.82036437
5346,Embraer E190,37265.09616,133995.4544,74504.04031,20%-35% of MAC,290.8586493,165.6121719,254549.3906,329,2853.825802,29851,642,Turbofan,85.69579096
5347,Cessna 172,77107.72228,89093.01286,88223.59975,20%-35% of MAC,964.4623457,93.3159803,466883.5117,350,26837.10919,50154,507,Piston,66.76801371
5348,Gulfstream G650,99930.32419,330007.5625,202296.5827,20%-40% of MAC,741.134992,138.3215095,466413.0179,183,58021.77672,38128,589,Piston,29.03557334
5349,Boeing 777,107145.7656,486470.3589,399264.5084,20%-35% of MAC,815.6960506,194.5669755,114519.5989,358,83634.50401,58038,468,Piston,30.50881225
5350,Boeing 747-8,67439.219,282899.039,94651.45513,15%-30% of MAC,482.7651208,123.9175078,54770.45591,409,32850.80828,43276,429,Turbofan,49.78916469
5351,Boeing 777,268992.7448,757776.9468,506937.7973,20%-40% of MAC,937.1716428,180.3277916,121844.7019,156,98374.47045,27921,473,Piston,29.89104279
5352,Cessna 172,12218.99097,28969.66907,24135.99231,25%-35% of MAC,409.4977528,167.736921,153359.9335,138,53155.16329,39278,637,Turbofan,72.79457847
5353,Beechcraft King Air 350,267081.4848,873418.6713,491040.0771,15%-30% of MAC,698.2980942,45.54499956,1512.17118,234,26940.23743,40524,691,Turbofan,84.08541926
5354,Boeing 747-8,164746.1517,788570.4433,329911.5996,20%-40% of MAC,799.2052169,41.4857593,185258.0132,83,55053.37273,30597,673,Turbofan,48.42619191
5355,Airbus A380,122983.684,534534.331,439924.5685,25%-35% of MAC,997.1587182,62.41384407,305826.6839,475,22335.10808,44590,501,Turbofan,36.46555745
5356,Airbus A320,213257.0228,451272.2906,400224.3974,15%-30% of MAC,508.2748446,176.3601742,48981.02136,420,30329.72579,37109,550,Turbofan,95.50150379
5357,Boeing 737-800,35217.01578,135140.5524,91821.36549,35%-45% of MAC,618.2498497,127.3425761,384395.1258,385,27697.44241,50159,650,Turbofan,82.21184018
5358,Airbus A380,248836.1808,538396.6913,408810.4116,25%-35% of MAC,973.472632,31.36989271,471461.5124,65,54358.6071,41513,626,Turbofan,43.30329105
5359,Embraer E190,76712.76599,272011.4395,263411.5968,20%-35% of MAC,399.7992836,54.0149276,426013.9093,414,38369.17205,59163,456,Turboprop,16.70172232
5360,Airbus A380,246764.6244,1021554.863,978848.2007,20%-40% of MAC,488.5059147,140.1949203,24193.42523,447,60433.67109,44593,420,Turbofan,40.9821427
5361,Airbus A380,269583.7925,410348.0128,324483.4202,15%-30% of MAC,730.6037407,37.11796568,442765.4258,491,78352.6472,54398,496,Turboprop,62.49133024
5362,Embraer E190,149218.5825,160716.589,154995.8677,25%-35% of MAC,959.6442676,107.4144306,271776.7509,368,5279.605623,59591,620,Turbofan,86.34169107
5363,Boeing 777,288218.5667,1039544.749,886152.3776,20%-40% of MAC,417.8964426,66.59196698,324322.3066,64,36119.91309,40805,602,Turboprop,71.7951132
5364,Embraer E190,227863.8053,615842.7674,352066.6138,20%-35% of MAC,448.2278458,178.9829646,171790.205,264,75160.16671,47799,509,Turbofan,22.12927795
5365,Bombardier Global 6000,54765.51463,206779.6011,102971.8459,35%-45% of MAC,774.0366143,84.83032759,294079.0042,91,41670.0629,40343,655,Piston,38.42445105
5366,Bombardier Global 6000,186518.8839,319694.1291,220188.2204,20%-40% of MAC,876.152658,23.59023022,142271.4906,290,71656.47811,48511,481,Turboprop,43.81185345
5367,Airbus A320,204928.9749,274915.9539,217062.0492,25%-35% of MAC,516.8960753,76.48603397,32824.04425,444,85008.43044,52599,661,Turboprop,86.89978662
5368,Beechcraft King Air 350,103528.5065,294267.3611,151806.0976,25%-35% of MAC,665.2276566,37.90166654,39277.02697,275,33275.76529,31348,463,Turboprop,48.13613071
5369,Airbus A380,261382.3772,1207562.942,649145.1149,20%-40% of MAC,794.3647466,86.94566668,461233.1016,134,6220.96723,29267,644,Piston,83.95460702
5370,Airbus A320,162228.178,232631.5722,202433.2409,20%-40% of MAC,770.7937516,102.5335775,169908.0172,270,31226.02803,28694,655,Turbofan,23.95445108
5371,Embraer E190,149062.3787,516075.5613,209782.2471,20%-40% of MAC,670.6734687,129.7168165,394553.6181,407,12702.85355,49836,581,Turbofan,34.64674456
5372,Bombardier Global 6000,15625.75731,17935.62757,16318.70082,20%-40% of MAC,939.3828331,192.0998091,405339.5975,204,97282.57525,57371,431,Turbofan,67.43364736
5373,Airbus A380,252096.8581,263537.9474,259785.7521,15%-30% of MAC,630.8034871,61.45135003,438596.4846,331,36349.47217,36980,616,Turbofan,81.0068974
5374,Bombardier Global 6000,266660.6596,300647.2505,292520.5979,35%-45% of MAC,461.5978502,77.20708993,352586.6629,328,76947.56511,29576,415,Piston,14.13835957
5375,Airbus A320,282632.9168,1086282.163,1001224.135,20%-40% of MAC,326.9968585,169.3772922,366731.99,384,55423.68739,55199,422,Turboprop,98.08125165
5376,Bombardier Global 6000,131581.3478,514595.6325,368998.2507,20%-40% of MAC,791.6945736,143.8119339,51085.20729,254,73756.0652,52862,405,Turbofan,97.25431827
5377,Boeing 747-8,274613.2274,433518.4095,338127.3566,20%-40% of MAC,686.9091553,50.66849742,119945.2775,238,47330.34691,41818,565,Turboprop,70.60722242
5378,Cessna 172,197258.096,783672.5896,445699.8872,20%-40% of MAC,586.9482374,100.095054,41829.0952,162,86030.80188,31625,472,Turbofan,29.61184001
5379,Boeing 737-800,109356.7444,140565.2024,112159.0454,25%-35% of MAC,963.8002583,82.61745751,256475.6962,142,28064.89481,23933,679,Turboprop,16.98069907
5380,Embraer E190,183052.1088,726374.0859,593800.6572,20%-40% of MAC,459.3407573,46.77899337,263948.5026,234,88004.69423,55924,647,Piston,25.07178877
5381,Boeing 747-8,4871.639008,17947.39061,4891.908603,15%-30% of MAC,507.0759995,182.9358326,377323.8761,293,55252.37357,47966,413,Turboprop,15.88312531
5382,Gulfstream G650,65620.50447,284887.9164,162641.623,20%-40% of MAC,287.075604,174.9207585,307755.6305,91,17912.79003,48351,580,Turboprop,35.02119906
5383,Gulfstream G650,152811.0742,588395.4314,174873.5631,20%-35% of MAC,453.7471596,148.8416321,311048.2065,204,80478.7691,41109,692,Turboprop,89.30727001
5384,Embraer E190,270754.7997,1018218.65,295132.739,15%-30% of MAC,745.1429909,53.11094073,490554.5521,299,57114.17143,47579,581,Turbofan,36.19933433
5385,Gulfstream G650,246114.2614,794531.7715,352336.4115,25%-35% of MAC,926.0740113,116.8133847,164970.451,316,41176.09138,23713,412,Piston,17.94447704
5386,Embraer E190,95186.17348,354439.6587,311860.4979,20%-40% of MAC,995.6365293,41.94301141,166019.4,297,87909.4955,25720,627,Piston,23.21114497
5387,Embraer E190,5901.23239,10283.37561,9008.340217,20%-40% of MAC,261.3503142,155.6251156,457000.5887,278,65201.30989,22676,494,Turboprop,22.85444263
5388,Airbus A320,53777.57129,91861.37862,64861.37391,20%-40% of MAC,834.6871573,189.4420767,466146.3285,328,25722.91601,34579,543,Turboprop,95.96654567
5389,Airbus A320,97903.35004,240310.7809,129045.5902,20%-35% of MAC,481.1796186,190.6953727,207927.7846,260,7135.286279,46794,502,Turboprop,12.34262252
5390,Boeing 747-8,242315.8641,1198320.336,1058150.678,20%-35% of MAC,532.1911092,62.09325705,274606.8796,273,21615.95886,49414,557,Turbofan,74.97051865
5391,Beechcraft King Air 350,295067.1506,1415394.942,1000558.318,25%-35% of MAC,896.8759468,145.9428863,347539.1133,402,67861.45864,26425,517,Piston,11.34054904
5392,Cessna 172,100901.2333,198715.5794,185817.8989,15%-30% of MAC,454.9102574,137.0218229,342244.9973,390,93474.86862,37518,564,Piston,81.7954385
5393,Cessna 172,164752.085,538961.1358,522957.7819,15%-30% of MAC,578.2947851,164.2491623,363973.2931,198,31157.81962,55325,655,Turboprop,17.12079488
5394,Boeing 777,146170.9604,221622.868,194709.6777,20%-35% of MAC,959.4996391,46.61392836,143080.0811,65,29368.91501,53338,442,Turboprop,68.03745144
5395,Embraer E190,80063.58103,269996.2125,87522.1383,20%-40% of MAC,327.7220493,98.18606507,40652.48798,334,41350.55894,20883,511,Piston,72.41470348
5396,Airbus A380,61413.59583,281009.9755,214547.9985,20%-35% of MAC,337.5788659,121.552301,498017.4837,93,63275.59419,41035,612,Piston,34.30817736
5397,Boeing 747-8,254022.6077,688200.7526,622395.4344,20%-40% of MAC,952.7473502,118.1682348,484633.8117,318,19421.78155,42524,415,Turboprop,56.27769597
5398,Gulfstream G650,133519.7359,390811.3222,146675.9533,20%-40% of MAC,948.6143687,45.16374641,458391.0485,188,53047.419,21716,440,Turboprop,47.38417573
5399,Airbus A380,104287.1157,438084.8915,130609.7832,25%-35% of MAC,992.1541444,114.4340637,72808.07739,322,92159.57903,33834,420,Turbofan,65.94633677
5400,Airbus A320,163070.6944,587366.8364,284211.1796,20%-40% of MAC,783.4490759,35.06391314,204546.6629,485,56034.39262,48572,681,Piston,38.62285639
5401,Bombardier Global 6000,181051.8927,479417.4374,354523.9643,25%-35% of MAC,286.3928645,38.06046397,316350.182,74,12026.52809,32713,691,Piston,97.3254896
5402,Boeing 777,287435.254,672776.8974,300045.942,35%-45% of MAC,819.3647203,141.5465157,302766.6315,72,6578.138348,51804,421,Turboprop,14.98474386
5403,Gulfstream G650,217367.1416,654449.778,420937.0304,35%-45% of MAC,912.383608,89.49911389,249767.9864,270,30072.61601,27772,407,Turboprop,59.62163318
5404,Boeing 737-800,54062.09177,148418.8877,145953.4556,20%-40% of MAC,914.9973247,32.86729922,380597.4347,427,48975.75188,40430,597,Turbofan,26.91658724
5405,Gulfstream G650,16480.16213,58766.45839,32629.61873,20%-40% of MAC,793.2500825,161.0252501,355691.3034,139,5440.610675,48717,615,Piston,97.89115799
5406,Embraer E190,79114.97019,179184.8588,123377.4237,35%-45% of MAC,971.7159293,183.8180806,260396.5962,72,11853.14391,43575,528,Turboprop,70.53814049
5407,Cessna 172,75371.59082,292508.8737,93571.81992,25%-35% of MAC,606.3254732,118.4899861,211995.5631,55,34633.57231,31343,477,Turboprop,19.70014311
5408,Airbus A380,68973.94184,153302.4432,74361.7364,15%-30% of MAC,234.6436206,119.053904,142486.393,138,64695.94351,39946,407,Piston,60.276745
5409,Airbus A380,161117.0701,791109.5872,750980.7726,25%-35% of MAC,254.6755575,170.3650819,146980.869,106,5563.941563,38824,555,Turboprop,18.50937446
5410,Boeing 777,14587.59345,71864.88563,48577.56767,20%-40% of MAC,299.0502238,187.6458463,41925.86568,210,33836.66762,29741,458,Turboprop,92.14906602
5411,Boeing 777,169695.4291,312655.4314,216882.0206,35%-45% of MAC,591.5174632,179.2461477,490700.0919,185,59795.10209,46253,490,Turboprop,60.82962956
5412,Boeing 777,108720.7293,310130.5263,241749.4435,20%-35% of MAC,766.6670721,165.5462577,314474.5452,236,49607.19429,57466,501,Turbofan,11.54980307
5413,Bombardier Global 6000,46359.18811,135580.5093,47978.19538,20%-40% of MAC,216.8463781,131.0429647,91001.60467,381,85585.19758,26628,596,Turbofan,42.97742328
5414,Bombardier Global 6000,25819.86722,113851.5632,53612.19465,35%-45% of MAC,667.3522408,189.7257975,402843.5189,213,71179.84506,59311,594,Turbofan,22.04354708
5415,Embraer E190,71592.4307,159606.028,86893.93754,20%-35% of MAC,616.935648,51.02594041,22694.42836,236,49823.68494,30368,440,Turbofan,59.65505662
5416,Airbus A320,170352.7379,724360.4658,370020.6727,20%-40% of MAC,921.0888514,179.9108856,245039.4851,110,6630.974591,22724,602,Turbofan,15.82539202
5417,Embraer E190,202441.5754,202466.8506,202443.0482,25%-35% of MAC,872.3292572,105.2729396,291587.2422,174,74648.63909,30856,544,Turboprop,93.83858498
5418,Airbus A320,203305.5149,859259.8731,559747.2763,20%-35% of MAC,212.1952592,189.2239594,177814.3564,86,36825.97275,21292,553,Turbofan,80.23868816
5419,Boeing 747-8,1004.674946,1830.132921,1719.683167,15%-30% of MAC,220.4779071,43.0206879,432946.9048,303,4331.188489,36533,531,Turbofan,98.77805672
5420,Boeing 747-8,116672.8063,329331.5964,314623.9042,20%-40% of MAC,668.4714698,160.7121461,143842.3225,91,15419.97161,36629,538,Turbofan,40.4837888
5421,Cessna 172,236337.9622,334678.3193,315222.8236,20%-40% of MAC,237.311056,137.1348658,337403.7525,198,4102.268371,35690,442,Turbofan,88.44382169
5422,Boeing 737-800,76542.31529,269797.0498,227297.2485,25%-35% of MAC,480.947045,96.72296043,210757.3414,86,1030.131785,23893,692,Piston,75.05848975
5423,Airbus A380,134240.3288,637362.1887,591738.1846,20%-40% of MAC,970.8598498,135.8542064,355028.0696,141,38420.94668,50274,568,Turbofan,56.10932853
5424,Boeing 777,153777.9807,225549.1538,189140.2457,25%-35% of MAC,474.4038662,26.59405844,222174.5105,251,85920.91502,33246,411,Piston,19.39276377
5425,Airbus A320,253447.7888,1006682.208,782668.9931,20%-40% of MAC,560.3230874,36.16805671,395782.5906,291,34931.82324,58210,577,Turbofan,19.56304672
5426,Bombardier Global 6000,112099.0864,302285.1922,223333.0197,20%-35% of MAC,666.3853649,192.6262623,73945.21809,234,34808.58438,59764,493,Piston,34.97860188
5427,Bombardier Global 6000,257857.5827,759675.2219,537790.068,20%-40% of MAC,428.7809016,124.176065,246033.8124,356,44512.83343,52301,631,Piston,49.32714625
5428,Beechcraft King Air 350,17858.8036,31523.41011,19599.53078,20%-40% of MAC,526.9614692,108.0696885,50054.06914,211,57752.74368,43682,460,Turbofan,50.3229738
5429,Airbus A380,19512.68625,25773.69736,19560.38493,20%-40% of MAC,768.8964942,151.6178328,208654.0605,183,50933.78908,38569,503,Turboprop,71.28460641
5430,Airbus A320,60322.83643,268248.7612,224003.7571,20%-40% of MAC,718.3166402,61.87378783,64394.31929,62,72392.87323,31224,420,Turbofan,19.37419417
5431,Gulfstream G650,207310.5643,616110.2863,461087.899,25%-35% of MAC,305.0261567,137.8810161,24392.17014,203,62843.58571,42140,697,Turbofan,23.71254612
5432,Cessna 172,292647.9239,397523.7333,334520.1944,35%-45% of MAC,301.1083534,53.62088166,233540.6498,409,28257.73129,49398,535,Turboprop,66.04115976
5433,Cessna 172,195219.1075,298024.7596,204503.3932,20%-40% of MAC,446.6526568,159.9226393,169507.3192,175,74626.29125,56606,648,Turboprop,52.73985852
5434,Embraer E190,220674.6216,1056619.775,923348.3927,20%-40% of MAC,239.2446111,44.47266017,296445.2752,332,83006.76706,32934,415,Turboprop,23.39333288
5435,Boeing 777,290216.502,660694.1156,641712.0531,25%-35% of MAC,227.6887066,186.5015626,317525.7944,265,46214.31239,52991,681,Piston,60.82061804
5436,Airbus A380,246620.8359,575997.1628,340229.8419,20%-35% of MAC,671.6654405,108.0692768,26837.39184,292,5433.508208,36222,571,Turbofan,12.80115278
5437,Airbus A380,209451.8971,894310.9938,639933.5354,20%-35% of MAC,604.0960086,49.94889832,401858.7676,79,17410.30109,50442,565,Turbofan,47.89584648
5438,Embraer E190,46355.61858,74576.42699,59100.68309,20%-40% of MAC,972.0987018,117.8315345,321490.6114,94,90246.86995,28407,575,Turbofan,48.35150106
5439,Cessna 172,146477.5767,700541.5016,428906.8887,20%-35% of MAC,518.4372132,52.09456222,203966.8193,151,32408.35939,36273,638,Turboprop,22.10013345
5440,Boeing 747-8,268313.1956,843851.9,716978.0808,25%-35% of MAC,687.7039867,73.12852816,281805.0968,311,46273.82239,28829,639,Piston,44.8497035
5441,Gulfstream G650,172509.6526,692773.3275,391585.9815,15%-30% of MAC,207.1281327,171.9261129,172060.2163,395,95798.54807,57983,451,Piston,76.9294187
5442,Airbus A380,238848.5494,383505.0287,358740.9094,20%-40% of MAC,951.4787139,109.8471502,215353.273,85,76458.78296,59566,532,Turbofan,73.29322796
5443,Beechcraft King Air 350,73180.11889,344452.659,212555.7761,20%-40% of MAC,847.5487782,64.12970569,364752.6817,497,48097.61543,53253,477,Piston,34.41456521
5444,Embraer E190,156602.2656,544795.3052,189234.9776,20%-40% of MAC,948.346335,184.551565,320329.5536,279,78964.74113,38789,450,Turbofan,81.38964222
5445,Boeing 747-8,203481.6654,1005706.553,323419.7246,20%-40% of MAC,631.4705731,87.68835422,275943.5883,384,35288.77984,53469,562,Piston,95.45843134
5446,Boeing 747-8,206687.1646,870001.5115,706793.1996,35%-45% of MAC,914.4644357,49.47678035,170460.738,491,71264.918,37983,629,Turboprop,40.55102993
